id,days,start_time,duration,location
1,MTWRF,0800,1.0,1
2,MTWRF,0800,1.0,2
3,MTWRF,0910,1.0,1
4,MTWRF,0910,1.0,2
5,MTWRF,1020,1.0,1
6,MTWRF,1020,1.0,2
7,MTWRF,1130,1.0,1
8,MTWRF,1130,1.0,2
9,MTWRF,1240,1.0,1
10,MTWRF,1240,1.0,2
11,MTWRF,1350,1.0,1
12,MTWRF,1350,1.0,2
13,MTWRF,1500,1.0,1
14,MTWRF,1500,1.0,2
15,MTWRF,0800,2.0,1
16,MTWRF,0800,2.0,2
17,MTWRF,0910,2.0,1
18,MTWRF,0910,2.0,2
19,MTWRF,1020,2.0,1
20,MTWRF,1020,2.0,2
21,MTWRF,1130,2.0,1
22,MTWRF,1130,2.0,2
23,MTWRF,1240,2.0,1
24,MTWRF,1240,2.0,2
25,MTWRF,1350,2.0,1
26,MTWRF,1350,2.0,2
27,MTWRF,1500,2.0,1
28,MTWRF,1500,2.0,2
29,MTWRF,0800,3.0,1
30,MTWRF,0800,3.0,2
31,MTWRF,0910,3.0,1
32,MTWRF,0910,3.0,2
33,MTWRF,1020,3.0,1
34,MTWRF,1020,3.0,2
35,MTWRF,1130,3.0,1
36,MTWRF,1130,3.0,2
37,MTWRF,1240,3.0,1
38,MTWRF,1240,3.0,2
39,MTWRF,1350,3.0,1
40,MTWRF,1350,3.0,2
41,MTWRF,1500,3.0,1
42,MTWRF,1500,3.0,2
43,M W F,0800,1.0,1
44,M W F,0800,1.0,2
45,M W F,0910,1.0,1
46,M W F,0910,1.0,2
47,M W F,1020,1.0,1
48,M W F,1020,1.0,2
49,M W F,1130,1.0,1
50,M W F,1130,1.0,2
51,M W F,1240,1.0,1
52,M W F,1240,1.0,2
53,M W F,1350,1.0,1
54,M W F,1350,1.0,2
55,M W F,1500,1.0,1
56,M W F,1500,1.0,2
57,M W F,0800,2.0,1
58,M W F,0800,2.0,2
59,M W F,0910,2.0,1
60,M W F,0910,2.0,2
61,M W F,1020,2.0,1
62,M W F,1020,2.0,2
63,M W F,1130,2.0,1
64,M W F,1130,2.0,2
65,M W F,1240,2.0,1
66,M W F,1240,2.0,2
67,M W F,1350,2.0,1
68,M W F,1350,2.0,2
69,M W F,1500,2.0,1
70,M W F,1500,2.0,2
71,M W F,0800,3.0,1
72,M W F,0800,3.0,2
73,M W F,0910,3.0,1
74,M W F,0910,3.0,2
75,M W F,1020,3.0,1
76,M W F,1020,3.0,2
77,M W F,1130,3.0,1
78,M W F,1130,3.0,2
79,M W F,1240,3.0,1
80,M W F,1240,3.0,2
81,M W F,1350,3.0,1
82,M W F,1350,3.0,2
83,M W F,1500,3.0,1
84,M W F,1500,3.0,2
85, T R ,0800,1.0,1
86, T R ,0800,1.0,2
87, T R ,0910,1.0,1
88, T R ,0910,1.0,2
89, T R ,1020,1.0,1
90, T R ,1020,1.0,2
91, T R ,1130,1.0,1
92, T R ,1130,1.0,2
93, T R ,1240,1.0,1
94, T R ,1240,1.0,2
95, T R ,1350,1.0,1
96, T R ,1350,1.0,2
97, T R ,1500,1.0,1
98, T R ,1500,1.0,2
99, T R ,0800,2.0,1
100, T R ,0800,2.0,2
101, T R ,0910,2.0,1
102, T R ,0910,2.0,2
103, T R ,1020,2.0,1
104, T R ,1020,2.0,2
105, T R ,1130,2.0,1
106, T R ,1130,2.0,2
107, T R ,1240,2.0,1
108, T R ,1240,2.0,2
109, T R ,1350,2.0,1
110, T R ,1350,2.0,2
111, T R ,1500,2.0,1
112, T R ,1500,2.0,2
113, T R ,0800,3.0,1
114, T R ,0800,3.0,2
115, T R ,0910,3.0,1
116, T R ,0910,3.0,2
117, T R ,1020,3.0,1
118, T R ,1020,3.0,2
119, T R ,1130,3.0,1
120, T R ,1130,3.0,2
121, T R ,1240,3.0,1
122, T R ,1240,3.0,2
123, T R ,1350,3.0,1
124, T R ,1350,3.0,2
125, T R ,1500,3.0,1
126, T R ,1500,3.0,2
127,M W  ,1240,2.1666666666666665,1
128,M W  ,0800,2.8333333333333335,1
129, T R ,1210,2.5,1
130, T R ,0800,4.0,1
131,M W  ,1240,1.0,1
132,M W  ,1350,2.0,1
133, T R ,0800,4.5,1
134,M W  ,1300,1.0,1
135,M W  ,1401,3.0,1
136,M W F,0905,2.0,1
137, T   ,1445,1.0,1
138,M W  ,1130,1.0,1
139,M W  ,0910,1.0,1
140,M W  ,1501,0.9833333333333333,1
141,M W  ,1300,2.0,1
142,M W F,0910,1.1666666666666667,1
143,M W  ,1200,2.8333333333333335,1
144,M W  ,1000,1.0,1
145, T R ,1500,2.5,1
146,M W  ,1300,3.0,1
147,M W F,0905,2.3333333333333335,1
148,   R ,1245,4.0,1
149,    F,0830,4.0,1
150, T   ,1245,3.0,1
151,M W  ,0910,3.0,1
152,M W  ,1520,2.0,1
153,M W  ,1240,2.5,1
154, TWR ,0800,1.0,1
155,MTWR ,0800,1.0,1
156,MTWR ,0910,1.0,1
157,MTWR ,1240,1.0,1
158, TWR ,1500,1.0,1
159,MTWR ,1350,1.0,1
160,MTWR ,1020,1.0,1
161, T   ,1130,2.0,1
162,   R ,1130,2.0,1
163, T   ,1130,4.0,1
164,   R ,1130,4.0,1
165,M W  ,1020,1.0,1
166,M    ,1240,2.0,1
167,  W  ,1350,2.0,1
168,  W  ,1240,1.0,1
169, T R ,0945,1.5,1
170,M W  ,1100,1.5,1
171,M W  ,1630,2.5,1
172, T R ,0800,1.5,1
173, T R ,0935,3.0,1
174, T R ,1430,3.0,1
175,M W  ,1020,3.0,1
176,    F,0910,4.0,1
177,    F,1400,3.0,1
178,M W  ,1400,3.5,1
179, T R ,1000,2.0,1
180,M    ,1240,1.0,1
181,  W F,1240,3.0,1
182, T R ,1300,1.0,1
183, T R ,1415,3.0,1
184,M W  ,0800,1.0,1
185,M W  ,1240,2.0,1
186, T R ,0800,5.0,1
187, T R ,1310,2.0,1
188,M W  ,1020,2.0,1
189, T R ,1000,1.0,1
190, T R ,1101,1.9833333333333334,1
191,    F,1020,1.0,1
192, T R ,0945,1.0,1
193, T R ,1315,1.0,1
194,MTWR ,1500,1.0,1
195, T R ,1020,2.1666666666666665,1
196,M W  ,1500,3.0,1
197, T R ,0900,3.0,1
198, T R ,0830,4.0,1
199,    F,0901,2.9833333333333334,1
200, T R ,1111,1.9666666666666666,1
201, T   ,0800,1.0,1
202,   R ,0800,1.9833333333333334,1
203,M    ,0910,3.0,1
204,  W  ,0910,2.0,1
205, T R ,1330,2.5,1
206,MTWR ,1130,1.0,1
207, TWR ,0910,1.0,1
208, T   ,1310,2.0,1
209,   R ,1310,2.0,1
210,  W  ,1130,1.0,1
211,M    ,0910,1.0,1
212, T R ,1200,1.0,1
213, T R ,1130,1.5,1
214,M    ,1130,4.0,1
215, T R ,1315,2.5,1
216,M W  ,0910,1.5,1
217,    F,0910,1.0,1
218, T R ,0910,1.9833333333333334,1
219, T R ,1020,1.5,1
220,  W  ,1240,2.0,1
221,M W F,1240,3.3333333333333335,1
222, T R ,1301,4.983333333333333,1
223, T R ,1201,0.9833333333333333,1
224,M W F,1501,0.9833333333333333,1
225,MTWRF,1301,1.9833333333333334,1
226,MTWRF,1601,1.9833333333333334,1
227,M W  ,1001,0.9833333333333333,1
228, T   ,1800,2.0,2
229, T   ,1300,3.0,2
230,M    ,1000,1.5,2
231,  W  ,1100,1.5,2
232, T   ,0900,3.0,2
233,  W  ,0800,3.0,2
234,  W  ,1300,3.0,2
235,   R ,0900,3.0,2
236, T   ,0800,1.9833333333333334,2
237, T   ,1000,1.9833333333333334,2
238, T   ,1200,1.9833333333333334,2
239, T   ,1400,1.9833333333333334,2
240,M W F,1245,1.0,2
241,   R ,1000,1.9833333333333334,2
242,   R ,1200,1.9833333333333334,2
243,  W F,1350,1.5,2
244,  W  ,1530,3.0,2
245,M    ,1400,3.0,2
246,    F,1530,3.0,2
247, T   ,0800,2.8333333333333335,2
248, T   ,1100,2.8333333333333335,2
249, T   ,1610,2.8333333333333335,2
250,   R ,1400,1.0,2
251, T   ,1500,3.0,2
252,  W  ,0800,4.5,2
253,    F,0800,8.0,2
254,  W  ,0800,8.0,2
255, T   ,1200,2.9833333333333334,2
256,  W  ,1200,3.0,2
257, T   ,1510,3.0,2
258,  W  ,1510,3.0,2
259,   R ,1500,3.0,2
260, T R ,0700,0.9833333333333333,2
261, T R ,0830,1.0,2
262, T R ,1315,1.5,2
263, T R ,1610,2.0,2
264,M    ,0900,4.0,2
265,   R ,1300,3.0,2
266,   RF,0800,4.0,2
267,  W F,0901,1.4833333333333334,2
268,  W  ,1200,2.0,2
269,   R ,1200,1.5,2
270,  W  ,1200,1.5,2
271,  W  ,0900,2.0,2
272,   RF,0900,1.5,2
273,   R ,0915,3.0,2
274,   RF,0900,2.0,2
275,   R ,1230,3.0,2
276, T R ,1401,1.4833333333333334,2
277,M W  ,1240,1.0,2
278,M W  ,0700,0.9833333333333333,2
279, T R ,1130,1.5,2
